10,,4,1,4,2
11,,5,1,4,3
12,,6,1,4,2
13,,7,1,4,2
14,,8,1,4,2
15,,9,1,5,4
16,,10,1,5,3
17,,11,1,5,0
18,,12,1,5,5
19,,13,1,5,2
20,,14,1,5,0
21,,15,1,6,3
22,,16,1,6,1
23,,17,1,6,3
24,,18,1,6,1
25,,19,1,6,2
26,,20,1,6,2
27,,21,1,7,1
28,,22,1,7,3
29,,23,1,7,0
30,,24,2,7,4
31,,25,2,7,2
32,,26,2,7,5
33,,27,2,7,0
34,,28,2,7,2
35,,29,2,8,5
36,,30,2,8,3
37,,31,2,8,0
38,,32,2,8,5
39,,33,2,8,3
40,,34,2,8,1
41,,35,2,8,3
42,,36,2,8,2
43,,37,3,9,0
44,,38,3,9,5
45,,39,3,9,2
46,,40,3,10,4
47,,41,3,10,3
48,,42,3,10,3
49,,43,3,11,5
50,,44,3,11,3
51,,45,3,11,4
52,,46,3,11,4
53,,47,4,11,1
54,,48,4,11,5
55,,49,4,11,4
56,,50,4,11,0
57,,51,4,11,3
58,,52,4,10,3
59,,53,4,10,3
60,,54,4,10,1
61,,55,4,10,1
62,,56,5,10,3
63,,57,5,10,5
64,,58,5,10,4
65,,59,5,4,4
66,,60,5,4,0
67,,61,5,4,0
